Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 146;R$ 1.282.000;138;3;3;2
Rua 1121;R$ 1.086.000;97-98;3;2-4;2
Rua 1128;R$ 950.000;104;3;3-4;2
Rua 1128;R$ 1.650.000;162;3;4;0
Rua 146;R$ 550.000;46;1;2;1
Rua 138;R$ 650.000;68;2;2;2
Alameda Ricardo Paranhos;R$ 370.000;70;2;2;7
Rua 138;R$ 1.150.000;130;3;1;3
Rua 135;R$ 1.450.000;121;3;4;2
Rua 1124;R$ 1.600.000;125;3;4;2
Rua 135;R$ 1.450.000;122;3;4;2
;R$ 1.227.000;116;3;4;2
Rua 1128;R$ 1.785.000;150;3;5;2-3
Rua 146;R$ 1.139.009;137-139;3;4-5;2
Rua 1128;R$ 1.350.000;116;3;4;2
Rua 1123;R$ 930.000;90;3;2;2
Rua 138;R$ 701.010;69;2;2;1
Rua Amélia Artiaga Jardim;R$ 761.430;72;2;2;1
Rua 146;R$ 1.240.000;137;3;4;2
Rua 143;R$ 1.050.000;115;3;7;2
Rua 1141;R$ 1.340.000;120;3;4;2
Rua 1125;R$ 1.472.000;145;3;3;2
Rua 139;R$ 1.100.000;99;2;2;2
Rua 147;R$ 1.110.000;115;3;4-5;2
Rua 1121;R$ 550.000;64;2;1;1
;R$ 803.805;84;3;2;2
Rua 38;R$ 1.600.000;130;3;4;2
Rua 24;R$ 1.109.000;119;3;4;2
Rua 135;R$ 1.300.000;127;3;4;2
Rua Amélia Artiaga Jardim;R$ 1.500.000;116;3;4;2
Rua 36;R$ 2.000.000;162;3;4;3
;R$ 1.370.000;114;3;4;2
Rua 1121;R$ 1.258.387;116;3;4;2
Rua 1128;R$ 980.000;104;3;4;2
Rua 1128;R$ 950.000;104;3;3;10
Rua 146;R$ 550.000;99;2;2;1
Rua 1141;R$ 990.000;72;2;3;1
Rua 38;R$ 1.399.999;129;3;3;3
Rua 146;R$ 1.290.000;140;3;4;2
Rua 1124;R$ 1.750.000;125;3;4;2
Rua 1128;R$ 1.435.802;149;3;4;2
Rua 1128;R$ 1.025.000;104;3;4;2
Rua 1124;R$ 1.952.423;157;3;5;2
Rua 1138;R$ 1.290.000;119-121;3;3-4;2
Rua 1123;R$ 420.000;45;1;1;1
Rua 1123;R$ 1.420.000;130;3;5;3
Rua 146;R$ 1.580.000;128;3;4;2
;R$ 880.000;99;3;3;2
Rua 34;R$ 1.820.000;185;3;4;3
Rua 147;R$ 1.050.000;115;3;4;2
Rua 135;R$ 1.499.000;159;3;5;2
Rua 146;R$ 599.000;99;2;3;1
Rua 1128;R$ 900.000;81;3;3;1
Rua 1128;R$ 1.600.000;162;3;3;3
Rua 34-A;R$ 2.080.000;162;3;5;3
Rua 1123;R$ 420.000;48;1;1;1
Rua 138;R$ 450.000;46;1;1;1
Rua 1124;R$ 1.500.000;140;3;4;2
Rua 1128;R$ 750.000;70;2;2;1
Rua 147;R$ 1.400.000;115;3;5;2
Rua 1123;R$ 530.000;45;1;1;1
Rua 1123;R$ 1.157.000;110-111;3;3-4;1-2
Rua T 51;R$ 530.000;65;2;2;1
Rua 1141;R$ 662.000;72;2;3;1
Rua 1123;R$ 478.000;45;1;1;1
Rua 1123;R$ 555.555;62;2;3;2
Rua 1123;R$ 550.000;61;2;2;1
Rua 1128;R$ 860.000;80;3;4;2
;R$ 1.100.000;119;3;5;2
Rua 1138;R$ 809.730;68;2;3;1
Rua 1123;R$ 620.000;62;2;2;1
Rua 1123;R$ 689.990;69;2;2;1
Rua 138;R$ 480.000;47;1;1;1
Alameda Ricardo Paranhos;R$ 635.000;80;3;2;2
Rua 1141;R$ 508.730;40;1;1;1
Rua 1139;R$ 1.199.909;125;3;4;2
Viela 1140;R$ 1.290.000;121;3;4;2
